Country,Region,Year,VALUE
Cuba,Americas,1994,8.275768064
Cayman Islands,Americas,1994,6.365878889
Cyprus,Asia,1994,0.828947805
Czechia,Europe,1994,2.005560732
Germany,Europe,1994,2.409679488
Denmark,Europe,1994,1.438490161
Dominican Republic,Americas,1994,13.01150424
Ecuador,Americas,1994,10.03731873
Egypt,Africa,1994,0.367975919
Spain,Europe,1994,1.082684679
Estonia,Europe,1994,20.46448971
Finland,Europe,1994,2.88887273
Fiji,Oceania,1994,4.425878237
France,Europe,1994,2.456750661
United Kingdom (England and Wales),Europe,1994,1.238354285
United Kingdom (Northern Ireland),Europe,1994,5.049561753
United Kingdom (Scotland),Europe,1994,2.136329159
Georgia,Asia,1994,11.56482716
Greece,Europe,1994,1.249129249
Greenland,Americas,1994,10.77189612
Guatemala,Americas,1994,32.08544178
Guyana,Americas,1994,14.40872208
"China, Hong Kong Special Administrative Region",Asia,1994,1.556241851
Honduras,Americas,1994,29.7623389
Croatia,Europe,1994,2.96715833
Hungary,Europe,1994,3.026366907
India,Asia,1994,5.02061884
Ireland,Europe,1994,0.702365962
Iraq,Asia,1994,6.257385579
Iceland,Europe,1994,0
Israel,Asia,1994,2.618637366
Italy,Europe,1994,1.703472095
Jamaica,Americas,1994,27.85625208
Jordan,Asia,1994,4.604776907
Japan,Asia,1994,0.600227292
Kazakhstan,Asia,1994,15.2204993
Cambodia,Asia,1994,2.848720797
Kiribati,Oceania,1994,0
Republic of Korea,Asia,1994,0.494906389
Saint Lucia,Americas,1994,6.64180418
Liechtenstein,Europe,1994,0
Lesotho,Africa,1994,43.59791107
Lithuania,Europe,1994,12.33272253
Luxembourg,Europe,1994,1.492375825
Latvia,Europe,1994,13.3514678
"China, Macao Special Administrative Region",Asia,1994,3.343797705
Morocco,Africa,1994,0.702248504
Republic of Moldova,Europe,1994,8.945884759
Mexico,Americas,1994,17.93478266
Marshall Islands,Oceania,1994,4.012881349
Malta,Europe,1994,0.792470474
Montserrat,Americas,1994,11.16196004
Mauritius,Africa,1994,2.353636499
Malaysia,Asia,1994,1.71527436
Nicaragua,Americas,1994,15.6747945
Netherlands (Kingdom of the),Europe,1994,1.114044327
Norway,Europe,1994,0.760940245
New Zealand,Oceania,1994,1.570078435
Panama,Americas,1994,12.13653793
Philippines,Asia,1994,9.528415424
Poland,Europe,1994,2.389547966
Puerto Rico,Americas,1994,27.06931295
Portugal,Europe,1994,1.427415664
Qatar,Asia,1994,0.998636861
Romania,Europe,1994,3.428655857
Russian Federation,Europe,1994,32.1644059
Singapore,Asia,1994,1.424992744
Saint Helena,Africa,1994,0
El Salvador,Americas,1994,134.7786542
Sao Tome and Principe,Africa,1994,6.122480217
Slovakia,Europe,1994,2.416268341
Slovenia,Europe,1994,2.05880241
Sweden,Europe,1994,1.146334007
Eswatini,Africa,1994,15.93729931
Turks and Caicos Islands,Americas,1994,13.88647804
Thailand,Asia,1994,8.540919709
Tajikistan,Asia,1994,10.95797324
Turkmenistan,Asia,1994,7.452147174
Ukraine,Europe,1994,8.202011165
United States of America,Americas,1994,8.893766272
Uzbekistan,Asia,1994,5.402235426
Saint Vincent and the Grenadines,Americas,1994,11.40916331
Venezuela (Bolivarian Republic of),Americas,1994,21.87069232
British Virgin Islands,Americas,1994,0
South Africa,Africa,1994,60.00973191
Zambia,Africa,1994,9.806216882
Aruba,Americas,1995,7.787151201
Anguilla,Americas,1995,10.41612416
Albania,Europe,1995,7.885849437
Armenia,Asia,1995,3.491049521
Antigua and Barbuda,Americas,1995,10.23421737
Australia,Oceania,1995,1.977448313
Austria,Europe,1995,0.981465897
Azerbaijan,Asia,1995,5.615178982
Belgium,Europe,1995,1.40660936
Bulgaria,Europe,1995,5.82713463
Bahrain,Asia,1995,0.815748515
Bahamas,Americas,1995,13.35318507
